"year","level","samp","inc_var","geo_var","geo_var_val","geo_abb","group_var","group_var_val","pctl10","pctl25","pctl50","pctl75","pctl90","pctl95","pctl98","pctl99","pctl99_9","pctl99_99","pctl99_999","pce","pctl10_adj","pctl25_adj","pctl50_adj","pctl75_adj","pctl90_adj","pctl95_adj","pctl98_adj","pctl99_adj","pctl99_9_adj","pctl99_99_adj","pctl99_999_adj"
2005,"pik","all_w2_pik","WC","usst",0,"US","xaged","16to24",853,2497,6684,14950,24480,31200,40280,47590,78980,182000,965500,0.7902604,1079.3910462931,3159.71798662821,8457.9715749391,18917.8149379622,30977.1310823622,39480.6572618342,50970.5408495731,60220.6563811118,99941.7407224252,230303.834027366,1221749.18545836
2005,"pik","all_w2_pik","WC","usst",0,"US","xaged","25to34",4341,13040,25750,40210,58590,73960,98680,123800,304700,1115000,6355000,0.7902604,5493.12606325712,16500.8900863563,32584.1962978279,50881.9624518703,74140.1188772713,93589.4042014506,124870.232647365,156657.223365868,385569.111143618,1410927.33483798,8041653.10573578
2005,"pik","all_w2_pik","WC","usst",0,"US","xaged","35to44",6120,17090,32420,52010,79830,106400,161100,226200,752300,2855000,10450000,0.7902604,7744.28277059055,21625.783096306,41024.4521932264,65813.749493205,101017.335551674,134639.164508306,203856.855284663,286234.765148298,951964.694169163,3612733.22059412,13223489.3713515
2005,"pik","all_w2_pik","WC","usst",0,"US","xaged","45to54",7612,18880,34510,55490,84890,115000,182300,267400,979100,4224000,16300000,0.7902604,9632.26804734237,23890.8592661356,43669.1500674967,70217.3612647173,107420.288299907,145521.65336894,230683.455731807,338369.479224823,1238958.70272634,5345073.59852525,20626112.6079454
2005,"pik","all_w2_pik","WC","usst",0,"US","xaged","55to64",4613,14540,30170,51360,80420,109700,175800,261500,1047000,5326000,24300000,0.7902604,5837.3164086167,18398.9986085599,38177.2894099211,64991.2358002501,101763.924903741,138815.003257154,222458.318802258,330903.585704155,1324879.74849809,6739550.65950413,30749358.0596978
2005,"pik","all_w2_pik","WC","usst",0,"US","xaged","65plus",403,3252,10740,25000,50400,77800,133500,205500,904000,4886000,25570000,0.7902604,509.958489632025,4115.09927613733,13590.4570189775,31635.1420367261,63776.4463460399,98448.5620182917,168931.658476118,260040.867541889,1143926.73604802,6182772.15965775,32356423.2751635
2005,"pik","all_w2_pik","WC","usst",0,"US","xagedXrea","16to24_Hispanic",888.7,2830,8024,16640,25560,31920,40840,48440,88110,203500,897900,0.7902604,1124.56602912154,3581.0980785574,10153.6151881076,21056.3505396449,32343.7692183488,40391.7493524919,51679.1680311958,61296.2512103605,111494.894594238,257510.056178951,1136207.76139106
2005,"pik","all_w2_pik","WC","usst",0,"US","xagedXrea","16to24_NH_AIAN",618,1937,5749,13180,21740,27810,36130,43070,71490,196600,NA,0.7902604,782.02071114787,2451.09080500554,7274.81726276554,16678.046881762,27509.919515137,35190.9320016541,45719.1072714766,54501.0227008718,90463.852168222,248778.756976814,NA
2005,"pik","all_w2_pik","WC","usst",0,"US","xagedXrea","16to24_NH_Asian",826,2410,6750,15740,27210,36080,48430,57340,109500,214800,NA,0.7902604,1045.22509289343,3049.6276923404,8541.48834991605,19917.4854263228,34431.6885927727,45655.8369874031,61283.5971535458,72558.361775435,138561.92212086,271809.140379551,NA
2005,"pik","all_w2_pik","WC","usst",0,"US","xagedXrea","16to24_NH_Black",587,1802,5184,11880,20130,25560,32760,38580,63730,341300,3222000,0.7902604,742.793135022329,2280.26103800722,6559.86305273553,15033.0194958523,25472.6163679719,32343.7692183488,41454.6901249259,48819.3511910758,80644.3040800222,431882.959085385,4077137.10569326
